school_level,current_school,current_placement,zoned_school,asian,black,hispanic,indian,multi,white,grand_total,total_row
Elem,ALAFIA ELEMENTARY,"NeighborhoodTotal","NeighborhoodTotal",21,114,318,0,126,645,1224,TRUE
Elem,ALAFIA ELEMENTARY,Total,Total,48,144,489,0,171,963,1815,TRUE
Elem,ALEXANDER ELEMENTARY,Choice Total,Choice Total,3,21,204,0,6,12,246,TRUE
Elem,ALEXANDER ELEMENTARY,Hope Sch Total,Hope Sch Total,0,0,6,0,0,0,6,TRUE
Elem,ALEXANDER ELEMENTARY,"NeighborhoodTotal","NeighborhoodTotal",12,18,1134,0,39,51,1254,TRUE
Elem,ALEXANDER ELEMENTARY,Total,Total,15,39,1344,0,45,63,1506,TRUE
Elem,ANDERSON ELEMENTARY,Choice Total,Choice Total,3,15,24,0,24,36,102,TRUE
Elem,ANDERSON ELEMENTARY,"NeighborhoodTotal","NeighborhoodTotal",45,120,171,0,111,291,738,TRUE
Elem,ANDERSON ELEMENTARY,Total,Total,48,135,195,0,135,327,840,TRUE
Elem,APOLLO BEACH ELEMENTARY,Choice Total,Choice Total,0,42,126,0,30,222,420,TRUE
Elem,APOLLO BEACH ELEMENTARY,Hope Sch Total,Hope Sch Total,0,12,0,0,0,0,12,TRUE
Elem,APOLLO BEACH ELEMENTARY,"NeighborhoodTotal","NeighborhoodTotal",30,102,354,3,126,795,1410,TRUE
Elem,APOLLO BEACH ELEMENTARY,Total,Total,30,156,480,3,156,1017,1842,TRUE
Elem,BAILEY ELEMENTARY,Choice Total,Choice Total,0,9,135,0,24,213,381,TRUE
Elem,BAILEY ELEMENTARY,"NeighborhoodTotal","NeighborhoodTotal",21,90,924,3,90,774,1902,TRUE
Elem,BAILEY ELEMENTARY,Total,Total,21,99,1059,3,114,987,2283,TRUE
Elem,BALLAST POINT ELEMENTARY,Choice Total,Choice Total,15,12,24,0,21,135,207,TRUE
Elem,BALLAST POINT ELEMENTARY,"ESE PlacedTotal","ESE PlacedTotal",0,0,0,0,0,3,3,TRUE
Elem,BALLAST POINT ELEMENTARY,Hope Sch Total,Hope Sch Total,0,0,0,0,0,3,3,TRUE
Elem,BALLAST POINT ELEMENTARY,"NeighborhoodTotal","NeighborhoodTotal",60,81,216,0,141,708,1206,TRUE
Elem,BALLAST POINT ELEMENTARY,Total,Total,75,93,240,0,162,849,1419,TRUE
Elem,BAY CREST ELEMENTARY,Choice Total,Choice Total,0,6,63,0,9,24,102,TRUE
Elem,BAY CREST ELEMENTARY,Hope Sch Total,Hope Sch Total,0,0,0,0,0,3,3,TRUE
Elem,BAY CREST ELEMENTARY,"NeighborhoodTotal","NeighborhoodTotal",30,150,1131,3,84,156,1554,TRUE
Elem,BAY CREST ELEMENTARY,Total,Total,30,156,1194,3,93,183,1659,TRUE
Elem,BELLAMY ELEMENTARY,Choice Total,Choice Total,3,15,207,0,9,36,270,TRUE
Elem,BELLAMY ELEMENTARY,"ESE PlacedTotal","ESE PlacedTotal",0,0,3,0,0,0,3,TRUE
Elem,BELLAMY ELEMENTARY,"NeighborhoodTotal","NeighborhoodTotal",60,120,1185,0,54,123,1542,TRUE
Elem,BELLAMY ELEMENTARY,Total,Total,63,135,1395,0,63,159,1815,TRUE
Elem,BELMONT ELEMENTARY SCHOOL,Choice Total,Choice Total,0,30,18,0,15,18,81,TRUE
Elem,BELMONT ELEMENTARY SCHOOL,"ESE PlacedTotal","ESE PlacedTotal",0,0,0,0,3,0,3,TRUE
Elem,BELMONT ELEMENTARY SCHOOL,"NeighborhoodTotal","NeighborhoodTotal",51,1077,804,3,294,570,2799,TRUE
Elem,BELMONT ELEMENTARY SCHOOL,Total,Total,51,1107,822,3,312,588,2883,TRUE
Elem,BEVIS ELEMENTARY,Choice Total,Choice Total,123,12,162,0,57,510,864,TRUE
Elem,BEVIS ELEMENTARY,"NeighborhoodTotal","NeighborhoodTotal",144,42,324,3,177,1038,1728,TRUE
Elem,BEVIS ELEMENTARY,Total,Total,267,54,486,3,234,1548,2592,TRUE
Elem,BING ELEMENTARY,Choice Total,Choice Total,0,66,27,0,6,0,99,TRUE
Elem,BING ELEMENTARY,"ESE PlacedTotal","ESE PlacedTotal",0,3,0,0,0,0,3,TRUE
Elem,BING ELEMENTARY,"NeighborhoodTotal","NeighborhoodTotal",18,294,786,0,72,234,1404,TRUE
Elem,BING ELEMENTARY,Total,Total,18,363,813,0,78,234,1506,TRUE
Elem,BOYETTE SPRINGS ELEMENTARY,Choice Total,Choice Total,72,108,138,3,66,354,741,TRUE
Elem,BOYETTE SPRINGS ELEMENTARY,"NeighborhoodTotal","NeighborhoodTotal",69,219,438,3,177,837,1743,TRUE
Elem,BOYETTE SPRINGS ELEMENTARY,Total,Total,141,327,576,6,243,1191,2484,TRUE
Elem,BROOKER ELEMENTARY,Choice Total,Choice Total,0,48,72,3,42,144,309,TRUE
Elem,BROOKER ELEMENTARY,"NeighborhoodTotal","NeighborhoodTotal",117,234,657,6,171,783,1968,TRUE
Elem,BROOKER ELEMENTARY,Total,Total,117,282,729,9,213,927,2277,TRUE
Elem,BROWARD ELEMENTARY,Choice Total,Choice Total,0,45,21,0,0,0,66,TRUE
Elem,BROWARD ELEMENTARY,Hope Sch Total,Hope Sch Total,0,3,0,0,0,0,3,TRUE
Elem,BROWARD ELEMENTARY,"NeighborhoodTotal","NeighborhoodTotal",3,309,183,0,48,45,588,TRUE
Elem,BROWARD ELEMENTARY,Total,Total,3,357,204,0,48,45,657,TRUE
Elem,BRYAN PLANT CITY ELEMENTARY,Choice Total,Choice Total,3,36,45,0,9,6,99,TRUE
Elem,BRYAN PLANT CITY ELEMENTARY,"NeighborhoodTotal","NeighborhoodTotal",12,120,1413,6,27,228,1806,TRUE
Elem,BRYAN PLANT CITY ELEMENTARY,Total,Total,15,156,1458,6,36,234,1905,TRUE
Elem,BRYANT ELEMENTARY,Choice Total,Choice Total,84,24,81,0,45,240,474,TRUE
Elem,BRYANT ELEMENTARY,"ESE PlacedTotal","ESE PlacedTotal",0,0,6,0,3,6,15,TRUE
Elem,BRYANT ELEMENTARY,"NeighborhoodTotal","NeighborhoodTotal",297,33,300,3,177,1395,2205,TRUE
Elem,BRYANT ELEMENTARY,Total,Total,381,57,387,3,225,1641,2694,TRUE
