File Name,Role,Synopsis,Location,Event / File Type,Report/File #,Date,Validation Link
10101_CROSS_CREEK_BLVD_Redacted.pdf,Police Call,BUILDING CHECK,"10101 CROSS CREEK BLVD, T",CAD Call,CP 2023-77153,Feb-22-2023,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=44ff1316d9023af3_3d903b1ba4a802f9&schid=8048&row=0&page=4
10101_CROSS_CREEK_BLVD_Redacted.pdf,ROM: Historic Address Police Call Police Call,SCHOOL RESOURCE OFFICER ASSIGNMENT INFORMATION,"10101 CROSS CREEK BLVD, T 10101 CROSS CREEK BLVD, T",CAD Call CAD Call,CP 2023-73370 CP 2023-64021,Feb-20-2023 Feb-14-2023,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=44ff1316d9023af3_3d903b1ba4a802f9&schid=8048&row=1&page=4
10101_CROSS_CREEK_BLVD_Redacted.pdf,Police Call,INFORMATION,"10101 CROSS CREEK BLVD, T",CAD Call,CP 2023-64458,Feb-14-2023,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=44ff1316d9023af3_3d903b1ba4a802f9&schid=8048&row=2&page=4
10101_CROSS_CREEK_BLVD_Redacted.pdf,Police Call,SCHOOL RESOURCE OFFICER ASSIGNMENT,"10101 CROSS CREEK BLVD, T",CAD Call,CP 2023-63826,Feb-14-2023,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=44ff1316d9023af3_3d903b1ba4a802f9&schid=8048&row=3&page=4
10101_CROSS_CREEK_BLVD_Redacted.pdf,Police Call,SCHOOL RESOURCE OFFICER ASSIGNMENT,"10101 CROSS CREEK BLVD, T",CAD Call,CP 2023-62193,Feb-13-2023,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=44ff1316d9023af3_3d903b1ba4a802f9&schid=8048&row=4&page=4
10101_CROSS_CREEK_BLVD_Redacted.pdf,Police Call,BUILDING CHECK,"10101 CROSS CREEK BLVD, T",CAD Call,CP 2023-60879,Feb-12-2023,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=44ff1316d9023af3_3d903b1ba4a802f9&schid=8048&row=5&page=4
10101_CROSS_CREEK_BLVD_Redacted.pdf,Police Call,BUILDING CHECK,"10101 CROSS CREEK BLVD, T",CAD Call,CP 2023-61003,Feb-12-2023,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=44ff1316d9023af3_3d903b1ba4a802f9&schid=8048&row=6&page=4
10101_CROSS_CREEK_BLVD_Redacted.pdf,Police Call,SCHOOL RESOURCE OFFICER ASSIGNMENT,"10101 CROSS CREEK BLVD, T",CAD Call,CP 2023-57587,Feb-10-2023,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=44ff1316d9023af3_3d903b1ba4a802f9&schid=8048&row=7&page=4
10101_CROSS_CREEK_BLVD_Redacted.pdf,Police Call,SCHOOL RESOURCE OFFICER ASSIGNMENT,"10101 CROSS CREEK BLVD, T",CAD Call,CP 2023-56167,Feb-09-2023,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=44ff1316d9023af3_3d903b1ba4a802f9&schid=8048&row=8&page=4
10101_CROSS_CREEK_BLVD_Redacted.pdf,Police Call,SCHOOL RESOURCE OFFICER ASSIGNMENT,"10101 CROSS CREEK BLVD, T",CAD Call,CP 2023-54374,Feb-08-2023,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=44ff1316d9023af3_3d903b1ba4a802f9&schid=8048&row=9&page=4
10101_CROSS_CREEK_BLVD_Redacted.pdf,Police Call,SCHOOL RESOURCE OFFICER ASSIGNMENT,"10101 CROSS CREEK BLVD, T",CAD Call,CP 2023-52853,Feb-07-2023,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=44ff1316d9023af3_3d903b1ba4a802f9&schid=8048&row=10&page=4
10101_CROSS_CREEK_BLVD_Redacted.pdf,Police Call,BUSY,"10101 CROSS CREEK BLVD, T",CAD Call,CP 2023-51600,Feb-06-2023,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=44ff1316d9023af3_3d903b1ba4a802f9&schid=8048&row=11&page=4
10101_CROSS_CREEK_BLVD_Redacted.pdf,Police Call,SCHOOL RESOURCE OFFICER ASSIGNMENT,"10101 CROSS CREEK BLVD, T",CAD Call,CP 2023-51319,Feb-06-2023,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=44ff1316d9023af3_3d903b1ba4a802f9&schid=8048&row=12&page=4
10101_CROSS_CREEK_BLVD_Redacted.pdf,Police Call,BUSY,"10101 CROSS CREEK BLVD, T",CAD Call,CP 2023-52134,Feb-06-2023,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=44ff1316d9023af3_3d903b1ba4a802f9&schid=8048&row=13&page=4
10101_CROSS_CREEK_BLVD_Redacted.pdf,Police Call,INFORMATION,"10101 CROSS CREEK BLVD, T",CAD Call,CP 2023-47333,Feb-03-2023,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=44ff1316d9023af3_3d903b1ba4a802f9&schid=8048&row=14&page=4
10101_CROSS_CREEK_BLVD_Redacted.pdf,Police Call,SCHOOL RESOURCE OFFICER ASSIGNMENT,"10101 CROSS CREEK BLVD, T",CAD Call,CP 2023-47711,Feb-03-2023,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=44ff1316d9023af3_3d903b1ba4a802f9&schid=8048&row=15&page=4
10101_CROSS_CREEK_BLVD_Redacted.pdf,Police Call,SCHOOL RESOURCE OFFICER ASSIGNMENT,"10101 CROSS CREEK BLVD, T",CAD Call,CP 2023-47505,Feb-03-2023,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=44ff1316d9023af3_3d903b1ba4a802f9&schid=8048&row=16&page=4
10101_CROSS_CREEK_BLVD_Redacted.pdf,Police Call,SCHOOL RESOURCE OFFICER ASSIGNMENT,"10101 CROSS CREEK BLVD, T",CAD Call,CP 2023-46022,Feb-02-2023,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=44ff1316d9023af3_3d903b1ba4a802f9&schid=8048&row=17&page=4
10101_CROSS_CREEK_BLVD_Redacted.pdf,Police Call,INFORMATION,"10101 CROSS CREEK BLVD, T",CAD Call,CP 2023-44738,Feb-01-2023,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=44ff1316d9023af3_3d903b1ba4a802f9&schid=8048&row=18&page=4
10101_CROSS_CREEK_BLVD_Redacted.pdf,Police Call,SCHOOL RESOURCE OFFICER ASSIGNMENT,"10101 CROSS CREEK BLVD, T",CAD Call,CP 2023-44457,Feb-01-2023,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=44ff1316d9023af3_3d903b1ba4a802f9&schid=8048&row=19&page=4
10101_CROSS_CREEK_BLVD_Redacted.pdf,Police Call,SUPPLEMENT REPORT,"10101CROSS CREEK BLVD, T",CAD Call,CP 2023-44775,Feb-01-2023,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=44ff1316d9023af3_3d903b1ba4a802f9&schid=8048&row=20&page=4
10101_CROSS_CREEK_BLVD_Redacted.pdf,Police Call,SCHOOL RESOURCE OFFICER ASSIGNMENT,"10101 CROSS CREEK BLVD, T",CAD Call,CP 2023-43051,Jan-31-2023,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=44ff1316d9023af3_3d903b1ba4a802f9&schid=8048&row=21&page=4
